id	typestrain	url
B_albus_N35-10-2_GCF_001884185.fna.gz	albus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/185/GCF_001884185.1_ASM188418v1/GCF_001884185.1_ASM188418v1_genomic.fna.gz
B_anthracis_Vollum_GCF_000742895.fna.gz	anthracis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/895/GCF_000742895.1_ASM74289v1/GCF_000742895.1_ASM74289v1_genomic.fna.gz
B_arachidis_SY8_GCF_017498775.fna.gz	arachidis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/775/GCF_017498775.1_ASM1749877v1/GCF_017498775.1_ASM1749877v1_genomic.fna.gz
B_bingmayongensis_FJAT-13831_GCF_000299035.fna.gz	bingmayongensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/035/GCF_000299035.1_ASM29903v1/GCF_000299035.1_ASM29903v1_genomic.fna.gz
B_cereus_ATCC_14579_GCF_000007825.fna.gz	cereus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/825/GCF_000007825.1_ASM782v1/GCF_000007825.1_ASM782v1_genomic.fna.gz
B_clarus_BHP_GCF_000746925.fna.gz	clarus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/925/GCF_000746925.1_BHP_1/GCF_000746925.1_BHP_1_genomic.fna.gz
B_cytotoxicus_NVH_391-98_GCF_000017425.fna.gz	cytotoxicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/425/GCF_000017425.1_ASM1742v1/GCF_000017425.1_ASM1742v1_genomic.fna.gz
B_fungorum_17-SMS-01_GCF_002746455.fna.gz	fungorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/746/455/GCF_002746455.1_ASM274645v1/GCF_002746455.1_ASM274645v1_genomic.fna.gz
B_gaemokensis_KCTC_13318_GCF_001590835.fna.gz	gaemokensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/835/GCF_001590835.1_ASM159083v1/GCF_001590835.1_ASM159083v1_genomic.fna.gz
B_hominis_BML-BC059_GCF_018332515.fna.gz	hominis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/332/515/GCF_018332515.1_ASM1833251v1/GCF_018332515.1_ASM1833251v1_genomic.fna.gz
B_luti_TD41_GCF_001884105.fna.gz	luti	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/884/105/GCF_001884105.1_ASM188410v1/GCF_001884105.1_ASM188410v1_genomic.fna.gz
B_manliponensis_JCM_15802_GCF_000712595.fna.gz	manliponensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/595/GCF_000712595.1_ASM71259v1/GCF_000712595.1_ASM71259v1_genomic.fna.gz
